Cementeri Nord;Cementeri Nord;;-0.5;Male
carrer del Moro;Moro;;-0.5;Male
Urbanització Santelvira;Urbanització elvira;;1.0;Female
Passatge de Wagner;Wagner;;-0.5;Male
Ronda de la Guineueta Vella;Guineueta Vella;;1.0;Female
Carrer de Sant Feliu de Codines;Sant Feliu de Codines;;-0.5;Male
Carrer Oris;Oris;;-0.79;Male
Carrer de Miguel Hernández;Miguel Hernández;;-1.0;Male
Plaça Isabel de Villena;Isabel Villena;;0.99;Female
Carrer d'Antonio Machado;Antonio Machado;;-0.5;Male
Plaça Miguel de Unamuno;Miguel Unamuno;;-1.0;Male
Carrer de Rodrigo Caro;Rodrigo Caro;;-0.5;Male
Carrer de Jaume Pinent;Jaume Pinent;;-0.5;Male
Carrer de Vidal i Guasch;Vidal i Guasch;;-0.99;Male
Carrer de les Torres;Torres;;-1.0;Male
Carrer d'Almagro;Almagro;;-0.5;Male
Carrer de Romaní;Romaní;;0.63;Female
carrer de Marín;Marín;;-0.5;Male
Carrer d'Artés;Artés;;-0.5;Male
Pont de la Mina;Mina;;0.99;Female
Carrer del Turó;Turó;;-0.5;Male
Carrer del Drac;Drac;;-0.5;Male
Carrer del Cim;Cim;;1.0;Female
Carrer de la Mina;Mina;;0.99;Female
Carrer de Pau Sabater;Pau Sabater;;-0.5;Male
Passeig de la Pineda;Pineda;;1.0;Female
Camí de la Font de l'Alzina;Font Alzina;;0.86;Female
Passatge Juli Garreta;Juli Garreta;;0.82;Female
Carrer de Juli Garreta;Juli Garreta;;0.82;Female
Avinguda de Francesc Macià;Francesc Macià;;-0.5;Male
Carrer Sant Quirze Safaja;Sant Quirze Safaja;;-0.5;Male
Carrer Palau Solità;Palau Solità;;-0.5;Male
Camí de les Quatre Estacions;Quatre Estacions;;-1.0;Male
Carrer dels Nou Barris;Nou Barris;;0.58;Female
Carrer d'Alvarado;Alvarado;;-0.5;Male
Carrer del Port de la Selva;Port Selva;;0.9;Female
Carrer de Joaquim Valls;Joaquim Valls;;-1.0;Male
Carrer d'Antoni Gilabert i Bonet;Antoni Gilabert i Bonet;;-0.5;Male
Carrer d'Andròmeda;Andròmeda;;1.0;Female
Carrer d'Oriol;Oriol;;-0.5;Male
Via Júlia;Júlia;;1.0;Female
Carrer de les Borges Blanques;Borges Blanques;;-0.5;Male
Carrer de Pons;Pons;;-1.0;Male
Carrer de Maria Zambrano;Maria Zambrano;;0.99;Female
Carrer de la Fosca;Fosca;;1.0;Female
Carrer de la Vall d'Aro;Vall Aro;;-0.5;Male
Carrer de Pablo Iglesias;Pablo Iglesias;;-1.0;Male
Carrer dels Nou Pins;Nou Pins;;0.58;Female
Carrer de la Florida;Florida;;1.0;Female
Carrer de Mireia;Mireia;;1.0;Female
Carrer del Turó de la Trinitat;Turó Trinitat;;0.99;Female
Carrer de la Mare de Déu de Lorda;Mare Déu de Lorda;;0.54;Female
Carrer Clara Campoamor;Clara Campoamor;;1.0;Female
Carrer d'Enric Morera;Enric Morera;;-0.5;Male
Carrer de Lluis Millet;Lluis Millet;;-0.5;Male
Carrer de Victor Hugo;Victor Hugo;;-1.0;Male
Plaça del Turó de la Trinitat;Turó Trinitat;;0.99;Female
carrer de Vicenç Montal;Vicenç Montal;;-0.5;Male
Carrer de Platja d'Aro;Platja Aro;;-0.88;Male
Passeig de Santa Coloma;Santa Coloma;;0.77;Female
Carrer Gran de Sant Andreu;Gran Sant Andreu;;-0.5;Male
Ronda de Dalt – Nus de la Trinitat;Dalt – Nus Trinitat;;0.99;Female
Carrer de Fernando Pessoa;Fernando Pessoa;;-0.5;Male
Carrer de Ferran Junoy;Ferran Junoy;;-1.0;Male
Carrer Miguel Hernández;Miguel Hernández;;-1.0;Male
Carrer de Jaume Martí;Jaume Martí;;-0.5;Male
Carrer de Teresa de Cofrents;Teresa de Cofrents;;1.0;Female
Carrer de Jaume Balmes;Jaume Balmes;;-0.5;Male
Avinguda de Lluís Companys;Lluís Companys;;-0.5;Male
avinguda Pla del vent;Pla vent;;-1.0;Male
