Júpiter;Júpiter;;-0.5;Male
Carlos David Anderson;Carlos David Anderson;;-0.99;Male
Agustín Melgar;Agustín Melgar;;-0.5;Male
Aguila Tirana;Aguila Tirana;;0.99;Female
Samuel F. B. Morse;Samuel F. B. Morse;;-0.5;Male
Hugo Chamberlein;Hugo Chamberlein;;-1.0;Male
Aguila Penachuda;Aguila Penachuda;;0.99;Female
Eduardo Branley;Eduardo Branley;;-1.0;Male
Vicente García;Vicente García;;-0.5;Male
Fuego Fauto;Fuego Fauto;;-1.0;Male
Aurora Boreal;Aurora Boreal;;1.0;Female
Arcoiris;Arcoiris;;0.5;Female
Rayo;Rayo;;-0.5;Male
Nádir;Nádir;;-0.5;Male
Luna;Luna;;0.99;Female
Orto;Orto;;-1.0;Male
Relámpago;Relámpago;;-1.0;Male
Cerrada Valle de Olmos;Valle Olmos;;0.89;Female
Agustín Pasten;Agustín Pasten;;-0.5;Male
Nazario ibañez;Nazario ibañez;;-0.5;Male
Enrique J. Giffard;Enrique J. Giffard;;-1.0;Male
Juan Carlos Borda;Juan Carlos Borda;;-0.99;Male
Juan Britter;Juan Britter;;-0.99;Male
Plan de San Luis;Plan de San Luis;;-0.79;Male
Emilio Berliner;Emilio Berliner;;-0.5;Male
Alejandro Volta;Alejandro Volta;;-1.0;Male
Plaza Tajín;Plaza Tajín;;-1.0;Male
Tikal;Tikal;;-0.5;Male
Plaza Teotihuacán;Plaza Teotihuacán;;-1.0;Male
Privada Sequeira;Privada Sequeira;;-0.5;Male
Rosa Zaragoza;Rosa Zaragoza;;0.99;Female
Mariquita Sánchez;Mariquita Sánchez;;1.0;Female
Avenida Canal Nacional;Canal Nacional;;-0.5;Male
Av. de los Leones;Leones;;-0.5;Male
Remedios Valle;Remedios;;0.5;Female
Carlota Armero;Carlota Armero;;0.5;Female
Catalina Buendía;Catalina Buendía;;1.0;Female
Taj Mahal;Taj Mahal;;-0.86;Male
Fuente de la Diana;Fuente de la Diana;;0.57;Female
Josefa Ocampo;Josefa Ocampo;;1.0;Female
Carmina Rincón;Carmina;;1.0;Female
Luisa Martínez;Luisa Martínez;;1.0;Female
María Teruel;María Teruel;;1.0;Female
Catalina González;Catalina González;;1.0;Female
María Tomasa Estébez;María Tomasa Estébez;;1.0;Female
Magdalena Cobos;Magdalena Cobos;;1.0;Female
Gertrudis González Bocanegra;Gertrudis González Bocanegra;;0.99;Female
Santa Rosa;Santa Rosa;;0.98;Female
