calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Calle Pachacutec;Pachacutec;Pachacutec;;0;Male;-;-;
Calle Tupac Yupanqui;Tupac Yupanqui;Tupac;Yupanqui;0;Male;-;-;
Pasaje Santa Rita;Santa Rita;Santa;Rita;2;Female;-;-;https://es.wikipedia.org/wiki/Rita_de_Casia
Pasaje Santa Ines;Santa Ines;Santa;Ines;2;Female;-;-;https://es.wikipedia.org/wiki/In%C3%A9s_de_Montepulciano
Maria Auxiliadora;Maria Auxiliadora;Maria;Auxiliadora;2;Female;-;-;https://es.wikipedia.org/wiki/Mar%C3%ADa_Auxiliadora
Inca Roca;Inca Roca;Inca;Roca;2;Male;-;-;
San Pedro;San Pedro;San;Pedro;-2;Male;-;-;
San Juan de Dios;San Juan de Dios;San;Juan;-2;Male;-;-;
Calle Huayna Ccapac;Huayna Ccapac;Huayna;Ccapac;0;Male;-;-;
Avenida Rene De la Colina;Rene De la Colina;Rene;De;2;Male;-;-;
Pasaje Hipolito Unanue;Hipolito Unanue;Hipolito;Unanue;-2;Male;-;-;
Alcides Vigo;Alcides Vigo;Alcides;Vigo;2;Male;-;-;https://es.wikipedia.org/wiki/%C3%89lida_Vigo
Avenida Carlos Ugarte;Carlos Ugarte;Carlos;Ugarte;-2;Male;-;-;
Avenida Agustin Gamarra;Agustí­n Gamarra;Agustí­n;Gamarra;-2;Male;-;-;
Pasaje Rosario Castillo;Rosario Castillo;Rosario;Castillo;2;Female;-;-;https://es.wikipedia.org/wiki/Rosario_Castellanos
Pasaje San Isidro;San Isidro;San;Isidro;-2;Male;-;-;
Calle Micaela Bastidas;Micaela Bastidas;Micaela;Bastidas;2;Female;-;-;https://es.wikipedia.org/wiki/Micaela_Bastidas
Simon Bolivar;Simon Bolivar;Simon;Boli­var;-2;Male;-;-;
Calle Ricardo Palma;Ricardo Palma;Ricardo;Palma;-2;Male;-;-;
Santa Martha;Santa Martha;Santa;Martha;2;Female;-;-;https://es.wikipedia.org/wiki/Marta_de_Betania
Jiron Clorinda Matto de Turner;Jiron Clorinda Matto de Turner;Jiron;Clorinda;2;Female;-;-;https://es.wikipedia.org/wiki/Clorinda_Matto_de_Turner
Calle Fortunato L. Herrera;Fortunato L. Herrera;Fortunato;L.;-2;Male;-;-;
Jiron Juan de Dios Aguirre;Jiron Juan de Dios Aguirre;Jiron;Juan;-2;Male;-;-;
Calle Rafael Quintanilla;Rafael Quintanilla;Rafael;Quintanilla;-2;Male;-;-;
Alfredo Yepez Miranda;Alfredo Yepez Miranda;Alfredo;Yepez;-2;Male;-;-;
Pasaje Gudiel Torre;Gudiel Torre;Gudiel;Torre;0; Male;-;-;
Jiron Manuel A. Segura;Jiron Manuel  Segura;Jiron;Manuel;-2;Male;-;-;
Calle Daniel Arteaga;Daniel Arteaga;Daniel;Arteaga;-2;Male;-;-;
Calle Ovispo Mollinedo;Ovispo Mollinedo;Ovispo;Mollinedo;0;Male;-;-;
Avenida Santa Ursula;Santa Ursula;Santa;Ursula;2;Female;-;-;https://es.wikipedia.org/wiki/%C3%9Arsula_de_Colonia
