calle,calleClean,name,surname,fiabilidad,gender,wikipedia
Coronel Lorenzo Lugones,Coronel Lorenzo Lugones,Coronel,Lorenzo,-2,Male,
Pedro Goyena,Pedro Goyena,Pedro,Goyena,-2,Male,
San Patricio,San Patricio,San,Patricio,-2,Male,
Martín Fierro,Martín Fierro,Martín,Fierro,-2,Male,
Avenida Andrés Vietti,Andrés Vietti,Andrés,Vietti,-2,Male,
San Jorge,San Jorge,San,Jorge,-2,Male,
Bulevar General José Rondeau,Bulevar General José Rondeau,Bulevar,General,-2,Male,
Francisco de Miranda,Francisco de Miranda,Francisco,de,-2,Male,
Julián Segundo de Agüero,Julián Segundo de Agüero,Julián,Segundo,-2,Male,
General Tomás de Iriarte,General Tomás de Iriarte,General,Tomás,-2,Male,
Juan Agustín Maza,Juan Agustín Maza,Juan,Agustín,-2,Male,
David Peña,David Peña,David,Peña,-2,Male,
Avenida Ricardo Alfonsín,Ricardo Alfonsín,Ricardo,Alfonsín,-2,Male,
Avenida Joaquín Granel,Joaquín Granel,Joaquín,Granel,-2,Male,
Galileo,Galileo,Galileo,,-2,Male,
Benito Álvarez,Benito Álvarez,Benito,Álvarez,-2,Male,
José Julián Pérez,José Julián Pérez,José,Julián,-2,Male,
Avenida Joaquín Suárez,Joaquín Suárez,Joaquín,Suárez,-2,Male,
Homero Manzi,Homero Manzi,Homero,Manzi,-2,Male,
Baldomero Fernández Moreno,Baldomero Fernández Moreno,Baldomero,Fernández,-2,Male,
Francisco Solano Ortega,Francisco Solano Ortega,Francisco,Solano,-2,Male,
Avenida John Fitzgerald Kennedy,John Fitzgerald Kennedy,John,Fitzgerald,-2,Male,
J. Nicolás,J. Nicolás,J.,Nicolás,-2,Male,
Avenida Casiano Casas,Casiano Casas,Casiano,Casas,-2,Male,
Manuel García,Manuel García,Manuel,García,-2,Male,
Comandante José Superí,Comandante José Superí,Comandante,José,-2,Male,
Avenida Hernán Pujato,Hernán Pujato,Hernán,Pujato,-2,Male,
Raúl Gardelli,Raúl Gardelli,Raúl,Gardelli,-2,Male,
Leopoldo Kanner,Leopoldo Kanner,Leopoldo,Kanner,-2,Male,
José Colombres,José Colombres,José,Colombres,-2,Male,
Avenida Albert Schweitzer,Albert Schweitzer,Albert,Schweitzer,-2,Male,
Germán Avé Lallemant,Germán é Lallemant,Germán,é,-2,Male,
Edgardo Schork,Edgardo Schork,Edgardo,Schork,-2,Male,
Albert Schweitzer,Albert Schweitzer,Albert,Schweitzer,-2,Male,
José María Fernández,José María Fernández,José,María,-2,Male,
Doctor Candido Pujato,Doctor Candido Pujato,Doctor,Candido,-2,Male,
Tabare,Tabare,Tabare,,-2,Male,
Hipólito Irigoyen,Hipólito Irigoyen,Hipólito,Irigoyen,-2,Male,
Domingo Matheu,Domingo Matheu,Domingo,Matheu,-2,Male,
José Rivera Indarte,José Rivera Indarte,José,Rivera,-2,Male,
San Telmo,San Telmo,San,Telmo,-2,Male,
Ricardo Gutierrez,Ricardo Gutierrez,Ricardo,Gutierrez,-2,Male,
Williams,Williams,Williams,,-2,Male,
José Darragueira,José Darragueira,José,Darragueira,-2,Male,
Ignacio Warnes,Ignacio Warnes,Ignacio,Warnes,-2,Male,
Agustín Álvarez,Agustín Álvarez,Agustín,Álvarez,-2,Male,
Ricardo Núñez,Ricardo Núñez,Ricardo,Núñez,-2,Male,
Wagner,Wagner,Wagner,,-2,Male,
José C. Paz,José  Paz,José,,-2,Male,
Alvarez Thomas,Alvarez Thomas,Alvarez,Thomas,-2,Male,
Avenida José Nicolás Puccio,José Nicolás Puccio,José,Nicolás,-2,Male,
Miller,Miller,Miller,,-2,Male,
Avenida Jorge Loureiro,Jorge Loureiro,Jorge,Loureiro,-2,Male,
Washington,Washington,Washington,,-2,Male,
Blas Parera,Blas Parera,Blas,Parera,-2,Male,
Pasaje San Cayetano,San Cayetano,San,Cayetano,-2,Male,
San Cayetano,San Cayetano,San,Cayetano,-2,Male,
Pasaje San José,San José,San,José,-2,Male,
Mariano Cabal,Mariano Cabal,Mariano,Cabal,-2,Male,
Renán,Renán,Renán,,-2,Male,
Domingo Polichiso,Domingo Polichiso,Domingo,Polichiso,-2,Male,
Avenida Travesía Albert Sabin,Travesía Albert Sabin,Travesía,Albert,-2,Male,
Juan Carlos Casas,Juan Carlos s,Juan,Carlos,-2,Male,
Oscar Álvarez,Oscar Álvarez,Oscar,Álvarez,-2,Male,
Fray Luis Beltrán,Fray Luis Beltrán,Fray,Luis,-2,Male,
Avenida Doctor Carlos Colombres,Doctor Carlos Colombres,Doctor,Carlos,-2,Male,
Arturo Frondizi,Arturo Frondizi,Arturo,Frondizi,-2,Male,
Pérez Galdós,Pérez Galdós,Pérez,Galdós,-2,Male,
Víctor Mercante,Víctor Mercante,Víctor,Mercante,-2,Male,
Salvador Allende,Salvador Allende,Salvador,Allende,-2,Male,
Neil,Neil,Neil,,-2,Male,
Colin Bain Calder,Colin Bain Calder,Colin,Bain,-2,Male,
Alberto Demiddi,Alberto Demiddi,Alberto,Demiddi,-2,Male,
Joaquín V. González,Joaquín V. González,Joaquín,V.,-2,Male,
Néstor Fernández,Néstor Fernández,Néstor,Fernández,-2,Male,
Rosendo María Fraga,Rosendo María Fraga,Rosendo,María,-2,Male,
