calle,calle filtrada,calle filtrada2,factor fiabilidad,gender,wikipedia
Carrer de Santa Maria,Santa Maria,,1.0,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_(madre_de_Jes%C3%BAs)
carrer de Santa Maria,Santa Maria,,1.0,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_(madre_de_Jes%C3%BAs)
Carrer de Santa Marta,Santa Marta,,1.0,Female,https://es.wikipedia.org/wiki/Marta_de_Astorga
Carrer de Santa Matilde,Santa Matilde,,1.0,Female,https://es.wikipedia.org/wiki/Matilde_de_Ringelheim
Carrer de Santa Mònica,Santa Mònica,,1.0,Female,https://es.wikipedia.org/wiki/M%C3%B3nica_de_Hipona
Carrer de Santa Otília,Santa Otília,,1.0,Female,https://es.wikipedia.org/wiki/Odilia_de_Alsacia
Carrer de Santa Perpètua,Santa Perpètua,,1.0,Female,
Carrer de Santa Rosalia,Santa Rosalia,,1.0,Female,https://es.wikipedia.org/wiki/Rosal%C3%ADa_de_Palermo
Carrer de Santa Teresa,Santa Teresa,,1.0,Female,https://es.wikipedia.org/wiki/Teresa_de_Jes%C3%BAs
Carrer de Santa Úrsula,Santa Úrsula,,1.0,Female,https://es.wikipedia.org/wiki/%C3%9Arsula_(santa)
carrer de Teresa Claramunt,Teresa Claramunt,,1.0,Female,https://es.wikipedia.org/wiki/Teresa_Claramunt
Carrer de Teresa de Cofrents,Teresa de Cofrents,,1.0,Female,https://ca.wikipedia.org/wiki/Teresa_de_Cofrents
Carrer de Teresa de Cofrents,Teresa de Cofrents,,1.0,Female,https://ca.wikipedia.org/wiki/Teresa_de_Cofrents
Carrer de Teresa Pàmies,Teresa Pàmies,,1.0,Female,https://es.wikipedia.org/wiki/Teresa_P%C3%A0mies
Carrer de Violeta Parra,Violeta Parra,,1.0,Female,https://es.wikipedia.org/wiki/Violeta_Parra
Carrer Margarida Xirgu,Margarida Xirgu,,1.0,Female,https://es.wikipedia.org/wiki/Margarita_Xirgu
Carrer Maria Cristina,Maria Cristina,,1.0,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_Cristina_de_Habsburgo-Lorena
Carrer Montserrat,Montserrat,,1.0,Female,
Carrer Nostra Senyora de la Merce,Nostra Senyora Merce,,1.0,Female,https://es.wikipedia.org/wiki/Virgen_de_la_Merced
Carrer Nostra Senyora de Lourdes,Nostra Senyora Lourdes,,1.0,Female,https://es.wikipedia.org/wiki/Nuestra_Se%C3%B1ora_de_Lourdes
Carrer Nostra Senyora dels Àngels,Nostra Senyora Àngels,,1.0,Female,https://es.wikipedia.org/wiki/Nuestra_Se%C3%B1ora_de_los_%C3%81ngeles_(Getafe)
Carrer Santa Albina,Santa Albina,,1.0,Female,https://pt.wikipedia.org/wiki/Santa_Albina
Carrer Santa Bàrbara,Santa Bàrbara,,1.0,Female,https://es.wikipedia.org/wiki/B%C3%A1rbara_(m%C3%A1rtir)
Carrer Santa Clotilde,Santa Clotilde,,1.0,Female,https://es.wikipedia.org/wiki/Clotilde_(reina)
Carrer Santa Eugènia,Santa Eugènia,,1.0,Female,https://es.wikipedia.org/wiki/Eugenia_(m%C3%A1rtir)
Carrer Santa Maria,Santa Maria,,1.0,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_(madre_de_Jes%C3%BAs)
Carrer Santa Maria,Santa Maria,,1.0,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_(madre_de_Jes%C3%BAs)
Carrer Santa Teresa,Santa Teresa,,1.0,Female,https://es.wikipedia.org/wiki/Teresa_de_Jes%C3%BAs
Carrer Verge de Montserrat,Verge Montserrat,,1.0,Female,https://es.wikipedia.org/wiki/Virgen_de_Montserrat
Hannah Arendt,Hannah Arendt,,1.0,Female,https://es.wikipedia.org/wiki/Hannah_Arendt
Nostra Senyora de l'Estrada,Senyora Estrada,,1.0,Female,
Passatge d'Isabel,Isabel,,1.0,Female,
passatge de Carmen Amaya,Carmen Amaya,,1.0,Female,https://es.wikipedia.org/wiki/Carmen_Amaya
Passatge de Clara Campoamor,Clara Campoamor,,1.0,Female,https://es.wikipedia.org/wiki/Clara_Campoamor
Passatge de la Miranda,Miranda,,1.0,Female,
Passatge de Margarida Xirgu,Margarida Xirgu,,1.0,Female,https://es.wikipedia.org/wiki/Margarita_Xirgu
Passatge de Maria Lluïsa,Maria Lluïsa,,1.0,Female,https://es.wikipedia.org/wiki/Maria_Llu%C3%AFsa_Ponsa
Passatge de Montserrat,Montserrat,,1.0,Female,
Passatge de Montserrat de Andrés,Montserrat de Andrés,,1.0,Female,
Passatge de Montserrat Isern,Montserrat Isern,,1.0,Female,https://ca.wikipedia.org/wiki/Montserrat_Isern_Rabascall
Passatge de Montserrat Roig,Montserrat Roig,,1.0,Female,https://es.wikipedia.org/wiki/Montserrat_Roig
Passatge de Santa Clara,Santa Clara,,1.0,Female,https://es.wikipedia.org/wiki/Clara_de_As%C3%ADs
Passatge de Santa Cristina,Santa Cristina,,1.0,Female,https://es.wikipedia.org/wiki/Cristina_de_Bolsena
Passatge de Santa Eugènia,Santa Eugènia,,1.0,Female,https://es.wikipedia.org/wiki/Eugenia_(m%C3%A1rtir)
Passatge de Santa Eulàlia,Santa Eulàlia,,1.0,Female,https://es.wikipedia.org/wiki/Eulalia_de_Barcelona
Passatge de Santa Isabel,Santa Isabel,,1.0,Female,https://es.wikipedia.org/wiki/Isabel_(santa)
Passatge de Santa Teresa,Santa Teresa,,1.0,Female,https://es.wikipedia.org/wiki/Teresa_de_Jes%C3%BAs
Passatge de Santa Teresa,Santa Teresa,,1.0,Female,https://es.wikipedia.org/wiki/Teresa_de_Jes%C3%BAs
Passatge Graziella Pareto,Graziella Pareto,,1.0,Female,https://es.wikipedia.org/wiki/Graziella_Pareto
Passatge Santa Eulàlia,Santa Eulàlia,,1.0,Female,https://es.wikipedia.org/wiki/Eulalia_de_Barcelona
Passeig d'Anna Rubies,Anna Rubies,,1.0,Female,https://ca.wikipedia.org/wiki/Anna_Rubi%C3%A9s_Monjonell
Passeig de la Miranda,Miranda,,1.0,Female,
Passeig de la Reina Elisenda de Montcada,Reina Elisenda Montcada,,1.0,Female,https://es.wikipedia.org/wiki/Elisenda_de_Moncada
Passeig de Santa Eulàlia,Santa Eulàlia,,1.0,Female,https://es.wikipedia.org/wiki/Eulalia_de_Barcelona
plaça de Frederica Montseny,Frederica Montseny,,1.0,Female,https://es.wikipedia.org/wiki/Federica_Montseny
Plaça de Frederica Montseny i Mañé,Frederica Montseny i Mañé,,1.0,Female,https://es.wikipedia.org/wiki/Federica_Montseny
Plaça de Gabriela Mistral,Gabriela Mistral,,1.0,Female,https://es.wikipedia.org/wiki/Gabriela_Mistral
Plaça de Gal·la Placídia,Gal·la Placídia,,1.0,Female,https://es.wikipedia.org/wiki/Gala_Placidia
Plaça de la Concòrdia,Concòrdia,,1.0,Female,
Plaça de la Mireia,Mireia,,1.0,Female,
Plaça de Madrona Prat,Madrona Prat,,1.0,Female,
Plaça de Mariana Pineda,Mariana Pineda,,1.0,Female,https://es.wikipedia.org/wiki/Mariana_Pineda
Plaça de Milagros Consarnau i Sabaté,Milagros Consarnau i Sabaté,,1.0,Female,
Plaça de Narcisa Freixas,Narcisa Freixas,,1.0,Female,https://es.wikipedia.org/wiki/Narcisa_Freixas
Plaça de Santa Magdalena,Santa Magdalena,,1.0,Female,https://es.wikipedia.org/wiki/Santa_Magdalena_(desambiguaci%C3%B3n)
Plaça de Teresa Claramunt,Teresa Claramunt,,1.0,Female,https://es.wikipedia.org/wiki/Teresa_Claramunt
Placeta de Rafaela Serrano,Rafaela Serrano,,1.0,Female,
Rambla de Montserrat,Montserrat,,1.0,Female,
Via Júlia,Júlia,,1.0,Female,
Carrer de Caterina Albert,Caterina Albert,,1.0,Female,https://es.wikipedia.org/wiki/Caterina_Albert
Avinguda Maria Torras,Maria Torras,,1.0,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_Teresa_Torras
Avinguda de la Reina Maria Cristina,Reina Maria Cristina,,0.99,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_Cristina_de_Habsburgo-Lorena
Avinguda de Maria Girona,Maria Girona,,0.99,Female,https://es.wikipedia.org/wiki/Maria_Girona_i_Benet
Avinguda de Pepa Colomer,Pepa Colomer,,0.99,Female,https://es.wikipedia.org/wiki/Maria_Josep_Colomer_i_Luque
Avinguda de Pepa Colomer,Pepa Colomer,,0.99,Female,https://es.wikipedia.org/wiki/Maria_Josep_Colomer_i_Luque
Avinguda Isabel la Católica,Isabel la Católica,,0.99,Female,https://es.wikipedia.org/wiki/Isabel_I_de_Castilla
Avinguda Maria Girona,Maria Girona,,0.99,Female,https://es.wikipedia.org/wiki/Maria_Girona_i_Benet
Carrer d'Anna M. Martínez Sagi,Anna M. Martínez Sagi,,0.99,Female,https://es.wikipedia.org/wiki/Ana_Mar%C3%ADa_Mart%C3%ADnez_Sagi
Carrer d'Isabel II,Isabel II,,0.99,Female,https://es.wikipedia.org/wiki/Isabel_II_de_Espa%C3%B1a
