calle;calleClean;name;surname;fiabilidad;gender;categoria;typeofroad;wikipedia
Calle de San Viator;San Viator;San;Viator;-1;Male;;;
Calle de María Auxiliadora;María Auxiliadora;María;Auxiliadora;2;Female;;;https://es.wikipedia.org/wiki/Mar%C3%ADa_Auxiliadora
Pasaje Río Guarga;Pasaje  Guarga;Pasaje;;0;Unknown;;;
Pasaje de las Miguelas;Miguelas;Miguelas;;0;Unknown;;;
Travesía del Laurel;Travesía del Laurel;Travesía;del;0;Unknown;;;
Travesía del Suspiro;Travesía del Suspiro;Travesía;del;0;Unknown;;;
Calle de San Juan Bosco;San Juan Bosco;San;Juan;-2;Male;;;
Calle Rioja;Rioja;Rioja;;0;Unknown;;;
Camino viejo de Yéqueda;viejo Yéqueda;viejo;Yéqueda;0;Unknown;;;
Camino Cruz del Palmo;Cruz Palmo;Cruz;Palmo;1;Unknown;;;
Cañada Real de Igriés;Real Igriés;Real;Igriés;0;Unknown;;;
Camino de Fornillos;Fornillos;Fornillos;;0;Unknown;;;
Camino de la Libra;Libra;Libra;;0;Unknown;;;
Calle Zalmedina;Zalmedina;Zalmedina;;0;Unknown;;;
Coso Bajo;Coso Bajo;Coso;Bajo;0;Unknown;;;
Travesía de la Conquista;Travesía de la Conquista;Travesía;de;0;Unknown;;;
Camino de Barluenga;Barluenga;Barluenga;;0;Unknown;;;
Camino de Valdecambras;Valdecambras;Valdecambras;;0;Unknown;;;
Pasaje Monrepós;Monrepós;Monrepós;;0;Unknown;;;
Pasaje Bonés;Bonés;Bonés;;0;Unknown;;;
Paseo Ramón Torrente;Ramón Torrente;Ramón;Torrente;-2;Male;;;
Pasaje Pico del Águila;Pico Águila;Pico;Águila;0;Unknown;;;
Pasaje Zavacequias;Zavacequias;Zavacequias;;0;Unknown;;;
Pasaje Baleares;Baleares;Baleares;;0;Unknown;;;
Paseo Ángel Sanagustín;Ángel Sanagustín;Ángel;Sanagustín;-2;Male;;;
Paseo Javier Tomeo;Javier Tomeo;Javier;Tomeo;-2;Male;;;
Paseo Julio Brioso;Julio Brioso;Julio;Brioso;-2;Male;;;
Paseo de D. Ramón Acín;D. Ramón Acín;D.;Ramón;-2;Male;;;
Avenida Juan XXIII;Juan XXIII;Juan;XXIII;-2;Male;;;
Calle de San Lorenzo;San Lorenzo;San;Lorenzo;-2;Male;;;
Travesía del Ciprés;Travesía del Ciprés;Travesía;del;0;Unknown;;;
Calle de Lanuza;Lanuza;Lanuza;;0;Unknown;;;
Travesía Urreas;Travesía Urreas;Travesía;Urreas;0;Unknown;;;
Travesía del Espino;Travesía del Espino;Travesía;del;0;Unknown;;;
Pasaje Abellanas;Abellanas;Abellanas;;0;Unknown;;;
Calle de las Flores;Flores;Flores;;0;Unknown;;;
Calle Peligros;Peligros;Peligros;;0;Unknown;;;
Calle Romero;Romero;Romero;;0;Unknown;;;
Calle Vidanía;Vidanía;Vidanía;;0;Unknown;;;
Calle Zarza;Zarza;Zarza;;0;Unknown;;;
Calle de Don Valentín Carderera;Don Valentín Carderera;Don;Valentín;-2;Male;;;
Calle de Monsieur Boyre;Monsieur Boyre;Monsieur;Boyre;-2;Male;;;
Calle de Quinto Sertorio;Quinto Sertorio;Quinto;Sertorio;-2;Male;;;
Costanilla de Gastón;Costanilla de Gastón;Costanilla;de;-2;Male;;;
Pasaje Vidanía;Vidanía;Vidanía;;0;Unknown;;;
Travesía de Mozárabes;Travesía de Mozárabes;Travesía;de;0;Unknown;;;
Travesía del Cisne;Travesía del Cisne;Travesía;del;0;Unknown;;;
Callejón de San Cristóbal;San Cristóbal;San;Cristóbal;-2;Male;;;
Pasaje de la Venerable Josefa Berride;Venerable Josefa Berride;Venerable;Josefa;2;Female;;;
Pasaje Perena;Perena;Perena;;0;Unknown;;;
Calle Cristaleros;Cristaleros;Cristaleros;;0;Unknown;;;
Calle Maestro Rovira;Maestro Rovira;Maestro;Rovira;0;Unknown;;;
Paseo del Camino de Santiago;Camino Santiago;Camino;Santiago;0;Unknown;;;
Antiguo camino de Quicena;Antiguo  Quicena;Antiguo;;0;Unknown;;;
Calle Alta;Alta;Alta;;0;Unknown;;;
Calle Escuelas;Escuelas;Escuelas;;0;Unknown;;;
Calle Laurel;Laurel;Laurel;;0;Unknown;;;
Calle Mayor;Mayor;Mayor;;0;Unknown;;;
Calle del Aire;Aire;Aire;;0;Unknown;;;
Calle del Centro;Centro;Centro;;0;Unknown;;;
Calle del Horno;Horno;Horno;;0;Unknown;;;
Calle la Unión;la Unión;la;Unión;0;Unknown;;;
Camino Cabañera;Cabañera;Cabañera;;0;Unknown;;;
Camino de Igriés;Igriés;Igriés;;0;Unknown;;;
Camino de Lienas;Lienas;Lienas;;0;Unknown;;;
Camino de las Eras;Eras;Eras;;0;Unknown;;;
Camino de los Huertos;Huertos;Huertos;;0;Unknown;;;
Camino del Cano;Cano;Cano;;0;Unknown;;;
Pasaje Castilla-León;Castilla-León;Castilla-León;;0;Unknown;;;
Ronda de San Miguel;Ronda de San Miguel;Ronda;de;-2;Male;;;
Paseo Joaquín Lanuza;Joaquín Lanuza;Joaquín;Lanuza;-2;Male;;;
Plaza de la Inmaculada;Inmaculada;Inmaculada;;2;Female;;;https://es.wikipedia.org/wiki/Inmaculada_Rodr%C3%ADguez-Pi%C3%B1ero
Calle de José María Lacasa;José María Lacasa;José;María;-2;Male;;;
Calle del Sauce;Sauce;Sauce;;0;Unknown;;;
Calle Manuel Ángel Ferrer;Manuel Ángel Ferrer;Manuel;Ángel;-2;Male;;;
Calle de Luis Mur Ventura;Luis Mur Ventura;Luis;Mur;-2;Male;;;
Camino Viejo de Yéqueda;Viejo Yéqueda;Viejo;Yéqueda;0;Unknown;;;
Plaza del Pozo;Pozo;Pozo;;0;Unknown;;;
Carretera de Cuarte;Carretera de Cuarte;Carretera;de;0;Unknown;;;
Camino de Cuarte a Banariés;Cuarte a Banariés;Cuarte;a;0;Unknown;;;
Avenida de Martínez de Velasco;Martínez de Velasco;Martínez;de;-2;Male;;;
Avenida de Pebredo;Pebredo;Pebredo;;0;Unknown;;;
Ronda de Valdabra;Ronda de Valdabra;Ronda;de;2;Female;;;https://es.wikipedia.org/wiki/Rosa_de_Vidania
Avenida A;A;A;;0;Unknown;;;
Calle 1;1;1;;0;Unknown;;;
Calle 2;2;2;;0;Unknown;;;
Paseo Oeste;Oeste;Oeste;;0;Unknown;;;
Calle 7;7;7;;0;Unknown;;;
Calle 3;3;3;;0;Unknown;;;
Calle 8;8;8;;0;Unknown;;;
Plaza 2;2;2;;0;Unknown;;;
Plaza 1;1;1;;0;Unknown;;;
Plaza 3;3;3;;0;Unknown;;;
Avenida C;C;C;;0;Unknown;;;
Avenida B;B;B;;0;Unknown;;;
Calle 9;9;9;;0;Unknown;;;
Paseo Este;Este;Este;;0;Unknown;;;
Calle 5;5;5;;0;Unknown;;;
Calle 4;4;4;;0;Unknown;;;
Calle Baja;Baja;Baja;;0;Unknown;;;
Calle 10;10;10;;0;Unknown;;;
Camino viejo de Cuarte;viejo Cuarte;viejo;Cuarte;0;Unknown;;;
Avenida de Artillería;Artillería;Artillería;;0;Unknown;;;
Calle de la Costera de Bailo;Costera Bailo;Costera;Bailo;-2;Male;;;
Calle de Biescas;Biescas;Biescas;;0;Unknown;;;
Calle de la Era;Era;Era;;0;Unknown;;;
Calle del Medio;Medio;Medio;;0;Unknown;;;
Callejón del Pozo;Pozo;Pozo;;0;Unknown;;;
Camino de Armengoy;Armengoy;Armengoy;;0;Unknown;;;
Calle Burgasé;Burgasé;Burgasé;;0;Unknown;;;
Calle Carrascal;Carrascal;Carrascal;;0;Unknown;;;
Calle Lienas;Lienas;Lienas;;0;Unknown;;;
Calle Tiermas;Tiermas;Tiermas;;0;Unknown;;;
Antiguo Camino de Cuarte a Vicién;Antiguo  Cuarte a Vicién;Antiguo;;0;Unknown;;;
Carretera de Huesca a Almuniente;Carretera de Huesca a Almuniente;Carretera;de;0;Unknown;;;
