calle,calle filtrada,calle filtrada2,fiabilidad,gender,wikipedia
María Zerpa,María Zerpa,,1.0,Female,
Mariana Pineda,Mariana Pineda,,1.0,Female,https://es.wikipedia.org/wiki/Mariana_Pineda
Matilde Pacheco de Batlle y Ordóñez,Matilde Pacheco de Batlle y Ordóñez,,0.99,Female,https://es.wikipedia.org/wiki/Matilde_Pacheco
Matilde Pacheco de Batlle y Ordóñez,Matilde Pacheco de Batlle y Ordóñez,,0.99,Female,https://es.wikipedia.org/wiki/Matilde_Pacheco
Mercedes,Mercedes,,0.49,Female,
Mercedes Olivera,Mercedes Olivera,,0.98,Female,
Mercedes Pinto,Mercedes Pinto,,0.49,Female,https://es.wikipedia.org/wiki/Mercedes_Pinto
Mercedes San Martín de García,Mercedes San Martín de García,,0.98,Female,
Mercedes Sosa,Mercedes Sosa,,0.98,Female,
Nataly,Nataly,,1.0,Female,
Niña,Niña,,0.92,Female,
Ofelia Machado Bonet,Ofelia Machado Bonet,,1.0,Female,https://es.wikipedia.org/wiki/Ofelia_Machado_Bonet
Paralela a Matilde Pacheco,Paralela a Matilde Pacheco,,0.58,Female,
Pasaje Adela Guixe y Cadenas,Adela Guixe y Cadenas,,1.0,Female,
Pasaje Carolina Dufort,Carolina Dufort,,1.0,Female,
Pasaje Chelita Linares,Chelita Linares,,0.49,Female,
Pasaje Estrellita Genta,Estrellita Genta,,0.93,Female,https://es.wikipedia.org/wiki/Estrella_Genta_de_Lockhart
Pasaje Juana de Ibarbourou,Juana Ibarbourou,,1.0,Female,https://es.wikipedia.org/wiki/Juana_de_Ibarbourou
Pasaje Juana de Ibarbourou,Juana Ibarbourou,,1.0,Female,https://es.wikipedia.org/wiki/Juana_de_Ibarbourou
Pasaje Leontina P. de Ardizzi,Leontina P. Ardizzi,,0.75,Female,
Pasaje Margarita,Margarita,,1.0,Female,
Paulina Luisi,Paulina Luisi,,1.0,Female,https://es.wikipedia.org/wiki/Paulina_Luisi
Petrona Rosende,Petrona Rosende,,0.99,Female,https://es.wikipedia.org/wiki/Petrona_Rosende
Petrona Viera,Petrona Viera,,0.99,Female,https://es.wikipedia.org/wiki/Petrona_Viera
Petronila Serrano,Petronila Serrano,,0.99,Female,
Pilar,Pilar,,0.99,Female,
Pilar Cabrera,Pilar Cabrera,,0.99,Female,
Policarpa Salavarrieta,Policarpa Salavarrieta,,1.0,Female,https://es.wikipedia.org/wiki/Policarpa_Salavarrieta
Procuradora Nivia M,Procuradora Nivia M,,0.49,Female,
Rambla Juana de Ibarbourou,Rambla Juana de Ibarbourou,,1.0,Female,https://es.wikipedia.org/wiki/Juana_de_Ibarbourou
Rosa P. Giffuni,Rosa P. Giffuni,,0.99,Female,
Santa Ana,Santa Ana,,1.0,Female,https://es.wikipedia.org/wiki/Ana_(madre_de_Mar%C3%ADa)
Santa Bernardita,Santa Bernardita,,1.0,Female,https://es.wikipedia.org/wiki/Bernadette_Soubirous
Santa Clara,Santa Clara,,1.0,Female,https://es.wikipedia.org/wiki/Clara_de_As%C3%ADs
Santa Fé,Santa Fé,,1.0,Female,https://es.wikipedia.org/wiki/Fe_(santa)
Santa Lucía,Santa Lucía,,1.0,Female,https://es.wikipedia.org/wiki/Luc%C3%ADa_de_Siracusa
Santa Lucía,Santa Lucía,,1.0,Female,https://es.wikipedia.org/wiki/Luc%C3%ADa_de_Siracusa
Santa María,Santa María,,0.74,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_(madre_de_Jes%C3%BAs)
Santa María,Santa María,,0.74,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_(madre_de_Jes%C3%BAs)
Santa Maria Eugenia,Santa Maria Eugenia,,0.98,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_Eugenia_de_Jes%C3%BAs
Santa Mónica,Santa Mónica,,1.0,Female,https://es.wikipedia.org/wiki/M%C3%B3nica_de_Hipona
Santa Rita,Santa Rita,,1.0,Female,https://es.wikipedia.org/wiki/Rita_de_Casia
Santa Rosa,Santa Rosa,,0.98,Female,https://es.wikipedia.org/wiki/Rosa_de_Viterbo
Santa Rosa,Santa Rosa,,0.98,Female,https://es.wikipedia.org/wiki/Rosa_de_Viterbo
Santa Rosa,Santa Rosa,,0.98,Female,https://es.wikipedia.org/wiki/Rosa_de_Viterbo
Santa Sofía,Santa Sofía,,1.0,Female,https://es.wikipedia.org/wiki/Santa_Sof%C3%ADa
Santa Teresa,Santa Teresa,,1.0,Female,https://es.wikipedia.org/wiki/Teresa_de_Jes%C3%BAs
Santa Teresa,Santa Teresa,,1.0,Female,https://es.wikipedia.org/wiki/Teresa_de_Jes%C3%BAs
Sara de Ibañez,Sara de Ibañez,,0.99,Female,https://es.wikipedia.org/wiki/Sara_de_Ib%C3%A1%C3%B1ez
Sara Otermin,Sara Otermin,,0.99,Female,
Sebastiana de Saá,Sebastiana de Saá,,0.48,Female,https://es.wikipedia.org/wiki/Sebastiana_de_S%C3%A1a
Selene,Selene,,0.5,Female,https://es.wikipedia.org/wiki/Selene
Sendero Fay Crocker,Fay Crocker,,0.82,Female,https://es.wikipedia.org/wiki/Fay_Crocker
Sendero Peatonal Clara Silva,Peatonal Clara Silva,,1.0,Female,https://es.wikipedia.org/wiki/Clara_Silva
Sixtina,Sixtina,,1.0,Female,
Sofía Arzarello,Sofía Arzarello,,1.0,Female,https://es.wikipedia.org/wiki/Sof%C3%ADa_Arzarello
Soledad,Soledad,,1.0,Female,
Sonia Ocaño,Sonia Ocaño,,1.0,Female,
Susana Pintos,Susana Pintos,,1.0,Female,https://es.wikipedia.org/wiki/Susana_Pintos
Susana Soca,Susana Soca,,1.0,Female,https://es.wikipedia.org/wiki/Susana_Soca
Teresa Muñoz,Teresa Muñoz,,1.0,Female,
Trinidad Guevara,Trinidad Guevara,,0.8,Female,https://es.wikipedia.org/wiki/Trinidad_Guevara
Venus,Venus,,0.98,Female,https://es.wikipedia.org/wiki/Venus_(mitología)
Vera,Vera,,0.99,Female,
Vera,Vera,,0.99,Female,
Vicenza,Vicenza,,1.0,Female,
Victoria de Carrasco,Victoria de Carrasco,,0.67,Female,
Victoria de Carrasco,Victoria de Carrasco,,0.67,Female,
Vidalvina,Vidalvina,,1.0,Female,
Violeta Parra,Violeta Parra,,1.0,Female,https://es.wikipedia.org/wiki/Violeta_Parra
Luis Morandi,Luis Morandi,,-0.5,Male,
Peabody,Peabody,,-0.5,Male,
Lister,Lister,,-0.46,Male,
Camino Luis Eduardo Pérez,Luis Eduardo Pérez,,-0.5,Male,
Camino Santos Lugares,Santos Lugares,,-0.33,Male,
José Artigas,José Artigas,,-0.3,Male,
German Oller,German Oller,,-0.5,Male,
Carlos Gardel,Carlos Gardel,,-1.0,Male,
Julio Sosa,Julio Sosa,,-0.5,Male,
