Gabriela Mistral;Gabriela Mistral;;1.0;female;https://es.wikipedia.org/wiki/Gabriela_Mistral
Gertrudis González Bocanegra;Gertrudis González Bocanegra;;0.99;female;https://es.wikipedia.org/wiki/Gertrudis_Bocanegra
Gioconda;Gioconda;;1.0;female;https://es.wikipedia.org/wiki/La_Gioconda
Gloria de Castilla;Gloria de Castilla;;0.99;female;
Gloria de Castilla;Gloria de Castilla;;0.99;female;
Gloria Marín;Gloria Marín;;0.5;female;https://es.wikipedia.org/wiki/Gloria_Mar%C3%ADn
Golda Mier;Golda Mier;;1.0;female;
Graciela;Graciela;;0.99;female;
Griselda;Griselda;;0.99;female;
Guadalupe Borja;Guadalupe Borja;;0.58;female;https://es.wikipedia.org/wiki/Guadalupe_Borja
Calzada de Guadelupe;Guadelupe;;0.5;female;
Calzada de Guadelupe;Guadelupe;;0.5;female;
Villa Guillermina;Guillermina;;0.99;female;
Gral. H. Lara;H. Lara;;0.83;female;
Ignario Mirab;Ignario Mirab;;0.5;female;
Infanta Micomicona;Infanta Micomicona;;1.0;female;
Irma Dorantes;Irma Dorantes;;0.99;female;https://es.wikipedia.org/wiki/Irma_Dorantes
Isabel B.;Isabel B.;;1.0;female;
Isabel la Catolica;Isabel la Catolica;;0.99;female;https://es.wikipedia.org/wiki/Isabel_I_de_Castilla
Isabel la Catolica;Isabel la Catolica;;0.99;female;https://es.wikipedia.org/wiki/Isabel_I_de_Castilla
Isabel la Catolica;Isabel la Catolica;;0.99;female;https://es.wikipedia.org/wiki/Isabel_I_de_Castilla
Isabel La Católica;Isabel La Católica;;0.99;female;https://es.wikipedia.org/wiki/Isabel_I_de_Castilla
Isabel la Católica;Isabel la Católica;;0.99;female;https://es.wikipedia.org/wiki/Isabel_I_de_Castilla
J. María Olmos;J. María Olmos;;0.52;female;
Villa Jimena;Jimena;;1.0;female;
Callejón Candelaria;jón Candelaria;;0.95;female;
Josefa O. de Domínguez;Josefa O. de Domínguez;;1.0;female;https://es.wikipedia.org/wiki/Josefa_Ortiz_de_Dom%C3%ADnguez
Josefa Ocampo;Josefa Ocampo;;1.0;female;
Josefa Ortiz de Domíngez;Josefa Ortiz de Domíngez;;1.0;female;https://es.wikipedia.org/wiki/Josefa_Ortiz_de_Dom%C3%ADnguez
Josefa Ortiz de Dominguez;Josefa Ortiz de Dominguez;;1.0;female;https://es.wikipedia.org/wiki/Josefa_Ortiz_de_Dom%C3%ADnguez
Josefa Ortiz de Domínguez;Josefa Ortiz de Domínguez;;1.0;female;https://es.wikipedia.org/wiki/Josefa_Ortiz_de_Dom%C3%ADnguez
Josefa Ortiz de Domínguez;Josefa Ortiz de Domínguez;;1.0;female;https://es.wikipedia.org/wiki/Josefa_Ortiz_de_Dom%C3%ADnguez
Josefa Ortiz de Domínguez;Josefa Ortiz de Domínguez;;1.0;female;https://es.wikipedia.org/wiki/Josefa_Ortiz_de_Dom%C3%ADnguez
Josefa Ortíz de Dominguez;Josefa Ortíz de Dominguez;;1.0;female;https://es.wikipedia.org/wiki/Josefa_Ortiz_de_Dom%C3%ADnguez
Josefa Ortíz de Domínguez;Josefa Ortíz de Domínguez;;1.0;female;https://es.wikipedia.org/wiki/Josefa_Ortiz_de_Dom%C3%ADnguez
Josefa Ortíz de Domínguez;Josefa Ortíz de Domínguez;;1.0;female;https://es.wikipedia.org/wiki/Josefa_Ortiz_de_Dom%C3%ADnguez
Josefa Ortíz de Domínguez;Josefa Ortíz de Domínguez;;1.0;female;https://es.wikipedia.org/wiki/Josefa_Ortiz_de_Dom%C3%ADnguez
Josefa Ortiz deDomínguez;Josefa Ortiz deDomínguez;;1.0;female;https://es.wikipedia.org/wiki/Josefa_Ortiz_de_Dom%C3%ADnguez
Calle Josefa Ortiz de Domingez;Josefa Ortiz Domingez;;1.0;female;https://es.wikipedia.org/wiki/Josefa_Ortiz_de_Dom%C3%ADnguez
Josefa Ortz de Domínguez;Josefa Ortz de Domínguez;;1.0;female;https://es.wikipedia.org/wiki/Josefa_Ortiz_de_Dom%C3%ADnguez
Josefina Prior;Josefina Prior;;1.0;female;
Juana de Arco;Juana de Arco;;1.0;female;https://es.wikipedia.org/wiki/Juana_de_Arco
Juana de Arco;Juana de Arco;;1.0;female;https://es.wikipedia.org/wiki/Juana_de_Arco
Juana de Arco;Juana de Arco;;1.0;female;https://es.wikipedia.org/wiki/Juana_de_Arco
Juana Gallo;Juana Gallo;;1.0;female;https://es.wikipedia.org/wiki/Juana_Gallo_%28pel%C3%ADcula%29
Juana V. G. de Mendoza;Juana V. G. de Mendoza;;1.0;female;
Calle Julia;Julia;;0.99;female;
Julieta;Julieta;;1.0;female;
Justina;Justina;;0.99;female;
La Adelita;La Adelita;;0.68;female;https://es.wikipedia.org/wiki/Adelita
Laura;Laura;;1.0;female;
Laura Méndez de Cuenca;Laura Méndez de Cuenca;;1.0;female;https://es.wikipedia.org/wiki/Laura_M%C3%A9ndez_de_Cuenca
Calle Leona Vicario;Leona Vicario;;1.0;female;https://es.wikipedia.org/wiki/Leona_Vicario
Leona Vicario;Leona Vicario;;1.0;female;https://es.wikipedia.org/wiki/Leona_Vicario
Leona Vicario;Leona Vicario;;1.0;female;https://es.wikipedia.org/wiki/Leona_Vicario
Leona Vicario;Leona Vicario;;1.0;female;https://es.wikipedia.org/wiki/Leona_Vicario
Leona y Vicario;Leona y Vicario;;0.99;female;https://es.wikipedia.org/wiki/Leona_Vicario
Leonor;Leonor;;0.98;female;
Lidia;Lidia;;1.0;female;
Loma Adriana;Loma Adriana;;0.99;female;
Loma Carmen;Loma Carmen;;0.95;female;
Loma Christina;Loma Christina;;0.99;female;
Loma Guadalupe;Loma Guadalupe;;0.68;female;
Loma Maria Emma;Loma Maria Emma;;0.99;female;
Lomas Valentina;Lomas Valentina;;0.99;female;
Louisiana;Louisiana;;0.99;female;
Lourdes;Lourdes;;1.0;female;
Lucrecia;Lucrecia;;1.0;female;
Lucrecia Toriz;Lucrecia Toriz;;1.0;female;
Luisa;Luisa;;1.0;female;
Luisa Martínez;Luisa Martínez;;1.0;female;
Lupita;Lupita;;1.0;female;
Luz Saviñon;Luz Saviñon;;0.95;female;https://es.wikipedia.org/wiki/Luz_Savi%C3%B1%C3%B3n
Ma. de la Luz Bringas;Ma. de la Luz Bringas;;0.69;female;
Madame Cuirie;Madame Cuirie;;0.94;female;https://es.wikipedia.org/wiki/Marie_Curie
Av. Magdalena;Magdalena;;1.0;female;https://es.wikipedia.org/wiki/Magdalena
Avenida Magdalena;Magdalena;;1.0;female;https://es.wikipedia.org/wiki/Magdalena
Avenida Magdalena;Magdalena;;1.0;female;https://es.wikipedia.org/wiki/Magdalena
