calle;calleClean;name;surname;fiabilidad;gender;wikipedia
Carlos Dodero;Carlos Dodero;Carlos;Dodero;-2;Male;
Leandro N. Alem;Leandro N. Alem;Leandro N.;Alem;-2;Male;
Jos√© M√°rmol;Jos√© M√°rmol;JosÈ;M·rmol;-2;Male;
Carlos Hardy;Carlos Hardy;Carlos;Hardy;-2;Male;
Avenida √âdison;√âdison;Tomas;…dison;-2;Male;
Luis O. Gusberti;Luis O. Gusberti;Luis O.;Gusberti;-2;Male;
Pasaje Capit√°n Eliseo Mu√±iz;Capit√°n Eliseo Mu√±iz;Eliseo;MuÒiz;-2;Male;
Homero Manzi;Homero Manzi;Homero;Manzi;-2;Male;
Celedonio Flores;Celedonio Flores;Celedonio;Flores;-2;Male;
An√≠bal Troilo;An√≠bal Troilo;AnÌbal;Troilo;-2;Male;
Pasaje Hip√≥lito Yrigoyen;Hip√≥lito Yrigoyen;HipÛlito;Yrigoyen;-2;Male;
Garc√≠a Pulido;Garc√≠a Pulido;;GarcÌa Pulido;-2;Male;
√Åstor Piazzolla;√Åstor Piazzolla;¡stor;Piazzolla;-2;Male;
Edmundo Rivero;Edmundo Rivero;Edmundo;Rivero;-2;Male;
Alberto Castillo;Alberto Castillo;Alberto;Castillo;-2;Male;
Agrimensor Agust√≠n Foster;Agrimensor Agust√≠n Foster;AgustÌn;Seelstrang;-2;Male;
Juan Manuel Rossi;Juan Manuel Rossi;Juan Manuel;Rossi;-2;Male;
Pasaje Juan Manuel Rossi;Juan Manuel Rossi;Juan Manuel;Rossi;-2;Male;
Pasaje Juan Moro;Juan Moro;Juan;Moro;-2;Male;
Pasaje Agrimensor Agust√≠n Foster;Agrimensor Agust√≠n Foster;AgustÌn;Seelstrang;-2;Male;
Juan Moro;Juan Moro;Juan;Moro;-2;Male;
√Ångel D'Ambra;√Ångel D'Ambra;¡ngel;D'Ambra;-2;Male;
Ildefonso P√©rez;Ildefonso P√©rez;Ildefonso;PÈrez;-2;Male;
Avenida Luis √Ångel Firpo;Luis √Ångel Firpo;Luis ¡ngel;Firpo;-2;Male;
Arist√≥bulo de Valle;Arist√≥bulo de;AristÛbulo;Del Valle;-2;Male;
Alicia Moreau de Justo;Alicia Moreau de Justo;Alicia;Moreau;2;Female;https://es.wikipedia.org/wiki/Alicia_Moreau_de_Justo
Alfonsina Storni;Alfonsina Storni;Alfonsina;Storni;2;Female;https://es.wikipedia.org/wiki/Alfonsina_Storni
Eva Per√≥n;Eva Per√≥n;Eva;PerÛn;2;Female;https://es.wikisource.org/wikiEva_Per%C3%B3n
Victoria Ocampo;Victoria Ocampo;Victoria;Ocampo;2;Female;https://es.wikipedia.org/wiki/Victoria_Ocampo
Rosa Guar√∫;Rosa Guar√∫;Rosa;Guaru;2;Female;https://es.wikipedia.org/wiki/Rosa_Garc%C3%ADa_Ascot
Sime√≥n Borda;Sime√≥n Borda;SimeÛn;Borda;-2;Male;
San Juan;San Juan;Juan;;-2;Male;
Pasaje √Ångel D'Ambra;√Ångel D'Ambra;¡ngel;D'Ambra;-2;Male;
Diagonal Eva Per√≥n;Diagonal Eva Per√≥n;Eva;PerÛn;2;Female;https://es.wikisource.org/wikiEva_Per%C3%B3n
Guido Spano;Guido Spano;Guido;Spano;-2;Male;
Pasaje San Luis;San Luis;San;Luis;-2;Male;
San Luis;San Luis;San;Luis;-2;Male;
Pasaje Alice Le Saige;Alice Le Saige;Alice;Le Saige;2;Female;
Pasaje Rodolfo Gabardini;Rodolfo Gabardini;Rodolfo;Gabardini;-2;Male;
Pasaje San Mart√≠n;San Mart√≠n;JosÈ de;San MartÌn;-2;Male;
Joaqu√≠n V√≠ctor Gonz√°lez;Joaqu√≠n V√≠ctor Gonz√°lez;JoaquÌn VÌctor;Gonz·lez;-2;Male;
Miguel Can√©;Miguel Can√©;Miguel;CanÈ;-2;Male;
Fray Mamerto Esqui√∫;Fray Mamerto Esqui√∫;Mamerto;Esqui˙;-2;Male;
Ram√≥n Castro;Ram√≥n Castro;RamÛn;Castro;-2;Male;
Pasaje Jos√© Rucci;Jos√© Rucci;JosÈ;Rucci;-2;Male;
Sa√∫l Ubaldini;Sa√∫l Ubaldini;Sa˙l;Ubaldini;-2;Male;
Cipriano Reyes;Cipriano Reyes;Cipriano;Reyes;-2;Male;
Pasaje √âdison;√âdison;Tomas;…dison;-2;Male;
Germ√°n Abdala;Germ√°n Abdala;Germ·n;Abdala;-2;Male;
Atilio L√≥pez;Atilio L√≥pez;Atilio;LÛpez;-2;Male;
Pasaje Atilio L√≥pez;Atilio L√≥pez;Atilio;LÛpez;-2;Male;
Avenida Jos√© Mar√≠a Toledo;Jos√© Mar√≠a Toledo;JosÈ MarÌa;Toledo;-2;Male;
Heraclio Perez;Heraclio Perez;Heraclio;PÈrez;-2;Male;
Avenida Libertador General San Mart√≠n;Libertador General San Mart√≠n;JosÈ de;San MartÌn;-2;Male;
√Ångel V. Pe√±aloza;√Ångel V. Pe√±aloza;¡ngel Vicente;PeÒaloza;-2;Male;
Facundo Quiroga;Facundo Quiroga;Facundo;Quiroga;-2;Male;
Alfredo Veirav√©;Alfredo Veirav√©;Alfredo;VeiravÈ;-2;Male;
Marcial Suarez;Marcial Suarez;Marcial;Su·rez;-2;Male;
Avenida Sebasti√°n Gaboto;Sebasti√°n Gaboto;Sebasti·n;Gaboto;-2;Male;
P√≠o XII;P√≠o XII;PÌo;;-2;Male;
Juan Jos√© Paso;Juan Jos√©;Juan JosÈ;Paso;-2;Male;
Gaspar de Nicola;Gaspar de Nicola;Gaspar;de Nicola;-2;Male;
Cornelio Saavedra;Cornelio Saavedra;Cornelio;Saavedra;-2;Male;
Santa Luc√≠a;Santa Luc√≠a;LucÌa;;2;Female;https://es.wikipedia.org/wiki/Luc%C3%ADa_de_Siracusa
Pablo VI;Pablo VI;Pablo;;-2;Male;
P√≠o X;P√≠o X;PÌo;;-2;Male;
Mercedes de San Mart√≠n;Mercedes de San Mart√≠n;Mercedes;de San MartÌn;2;Female;https://es.wikipedia.org/wiki/Mercedes_Tomasa_San_Mart%C3%ADn_y_Escalada
Mois√©s Levenshon;Mois√©s Levenshon;MoisÈs;Levenshon;-2;Male;
San Jos√© de Flores;San Jos√© de Flores;San;Jos√©;-2;Male;
Crist√≥bal Col√≥n;Crist√≥bal Col√≥n;CristÛbal;ColÛn;-2;Male;
Estanislao del Campo;Estanislao del Campo;Estanislao;del Campo;-2;Male;
Pasaje San Juan;San Juan;Juan;;-2;Male;
San Bernardo;San Bernardo;Bernardo;;-2;Male;
Sebasti√°n Gaboto;Sebasti√°n Gaboto;Sebasti·n;Gaboto;-2;Male;
San Mart√≠n;San Mart√≠n;JosÈ de;San MartÌn;-2;Male;
Viamonte;monte;Juan JosÈ;Viamonte;-2;Male;https://es.wikipedia.org/wiki/Ana_Monte_Real
Tomas Edison;Tomas Edison;Tomas;Edison;-2;Male;
Bolivar;Bolivar;SimÛn;BolÌva;-2;Male;
Morgan;Morgan;Juan;De Morgan;-2;Male;
Elias Abad;Elias Abad;Elias;Abad;-2;Male;
General Paz;General Paz;JosÈ MarÌa;Paz;-2;Male;
