calle,calle filtrada,calle filtrada2,fiabilidad,gender,wikipedia
Calle Santa Carolina,Santa Carolina,,0.88,Female,
Mencia de Sanabria,Mencia de Sanabria,,0.88,Female,https://es.wikipedia.org/wiki/Mencia_Calder%C3%B3n
Virgen de Fatima,Virgen de Fatima,,0.87,Female,https://es.wikipedia.org/wiki/Virgen_de_F%C3%A1tima
L. Valentina,L. Valentina,,0.82,Female,
Pasaje Santa María,Santa María,,0.74,Female,https://es.wikipedia.org/wiki/Santa_Mar%C3%ADa
Doña C. Casco De Lara C.,Doña  Casco De Lara C.,,0.73,Female,https://es.wikipedia.org/wiki/Carmen_Casco_de_Lara_Castro
Virgen del Pilar,Virgen del Pilar,,0.72,Female,
Nuestra Señora del Pilar,Nuestra Señora del Pilar,,0.68,Female,https://es.wikipedia.org/wiki/Virgen_del_Pilar
Virgen de Fátima,Virgen de Fátima,,0.6,Female,https://es.wikipedia.org/wiki/Virgen_de_F%C3%A1tima
Virgen de la Medadalla Milagrosa,Virgen de la Medadalla Milagrosa,,0.59,Female,
Virgen de Caacupe,Virgen de Caacupe,,0.58,Female,https://es.wikipedia.org/wiki/Virgen_de_Caacup%C3%A9
Clotilde Galeano,Clotilde Galeano,,0.5,Female,
Enriqueta Gómez Sánchez,Enriqueta Gómez Sánchez,,0.5,Female,
Mencia Calderon,Mencia Calderon,,0.5,Female,https://es.wikipedia.org/wiki/Mencia_Calder%C3%B3n
Profesora Ilda Morales,Profesora Ilda Morales,,0.5,Female,
Serafina Dávalos,Serafina Dávalos,,0.5,Female,https://es.wikipedia.org/wiki/Serafina_D%C3%A1valos
Profesora Agripina Burgos,Profesora Agripina Burgos,,0.49,Female,
Concepcion Leyes de Chavez,Concepcion Leyes de Chavez,,0.48,Female,https://es.wikipedia.org/wiki/Concepci%C3%B3n_Leyes_de_Chaves
Branislava Susnik,Branislava Susnik,,0.47,Female,https://sl.wikipedia.org/wiki/Branislava_Su%C5%A1nik
Carmen Casco de Lara Castro,Carmen Casco de Lara Castro,,0.47,Female,https://es.wikipedia.org/wiki/Carmen_Casco_de_Lara_Castro
Carmen Soler,Carmen Soler,,0.47,Female,https://es.wikipedia.org/wiki/Carmen_Soler
Gudelia Torres,Gudelia Torres,,0.47,Female,
Nima Candia,Nima Candia,,0.45,Female,
Cantalicia Lugo,Cantalicia Lugo,,0.42,Female,
Nuestra Señora del Carmen,Nuestra Señora del Carmen,,0.41,Female,https://es.wikipedia.org/wiki/Virgen_del_Carmen
Nuestra Señora del Carmen,Nuestra Señora del Carmen,,0.41,Female,https://es.wikipedia.org/wiki/Virgen_del_Carmen
Mujer en la Conquista,Mujer en la Conquista,,0.39,Female,
Ercilia López de Blomberg,Ercilia López de Blomberg,,0.36,Female,https://es.wikipedia.org/wiki/Ercilia_L%C3%B3pez_de_Blomberg
Lorenza Valdez de Martinez,Lorenza Valdez de Martinez,,0.33,Female,
Virgen del Rosario,Virgen del Rosario,,0.29,Female,https://es.wikipedia.org/wiki/Virgen_del_Rosario
Virgen de Caacupé,Virgen de Caacupé,,0.26,Female,https://es.wikipedia.org/wiki/Virgen_de_Caacup%C3%A9
Ayala Candia,Ayala Candia,,-1.0,Male,
Ayala Candia,Ayala Candia,,-1.0,Male,
Adolfo Riquelme,Adolfo Riquelme,,-1.0,Male,
Agustin Barrios,Agustin Barrios,,-1.0,Male,
Agustín Barrios,Agustín Barrios,,-1.0,Male,
Agustín Pío Barrios,Agustín Pío Barrios,,-1.0,Male,
Agustín Ruíz,Agustín Ruíz,,-1.0,Male,
Alberdi,Alberdi,,-1.0,Male,
Alejandro Villamayor,Alejandro mayor,,-1.0,Male,
Alexis Boggino,Alexis Boggino,,-1.0,Male,
Alfredo Seiferheld,Alfredo Seiferheld,,-1.0,Male,
Ángel Iribas,Ángel Iribas,,-1.0,Male,
Avenida Artigas,Artigas,,-1.0,Male,
Avenida Artigas,Artigas,,-1.0,Male,
Avenida Chóferes del Chaco,Chóferes Chaco,,-1.0,Male,
Avenida Eduardo Vasconcellos,Eduardo Vasconcellos,,-1.0,Male,
Avenida Pedro Bruno Guggiari,Pedro Bruno Guggiari,,-1.0,Male,
Benitez Vera,Benitez Vera,,-1.0,Male,
Benitez Vera,Benitez Vera,,-1.0,Male,
Benito Vargas,Benito Vargas,,-1.0,Male,
Benjamin Aceval,Benjamin Aceval,,-1.0,Male,
Benjamín Balansá,Benjamín Balansá,,-1.0,Male,
Benjamín Constant,Benjamín Constant,,-1.0,Male,
Benjamín González,Benjamín González,,-1.0,Male,
Blás Garay,Blás Garay,,-1.0,Male,
Blás Garay,Blás Garay,,-1.0,Male,
Cacique Kara Kara,Cacique Kara Kara,,-1.0,Male,
cadete Ortiz Molina,cadete Ortiz Molina,,-1.0,Male,
Cadete Sisa,Cadete Sisa,,-1.0,Male,
Calle Capitan Montiel,Capitan Montiel,,-1.0,Male,
Calle Capitán Montiel,Capitán Montiel,,-1.0,Male,
Calle Carios,Carios,,-1.0,Male,
Calle Cnel. Benza Carrera,Cnel. Benza Carrera,,-1.0,Male,
Calle Coronel Francisco Martínez,Coronel Francisco Martínez,,-1.0,Male,
Calle Muñoz,Muñoz,,-1.0,Male,
Calle Muñoz,Muñoz,,-1.0,Male,
Calle Profesor Milclades de la Paz Gimenez,Profesor Milclades Paz Gimenez,,-1.0,Male,
Calle Te. Zenteno,Te. Zenteno,,-1.0,Male,
Calle Teniente Héctor Vera,Teniente Héctor Vera,,-1.0,Male,
Calle Villa Hayes,Villa Hayes,,-1.0,Male,
Capitán Alfonso del Puerto,Capitán Alfonso del,,-1.0,Male,
Capitán Anton de Luque,Capitán Anton de Luque,,-1.0,Male,
Capitán Antonio Montiel,Capitán Antonio Montiel,,-1.0,Male,
Capitán Aparicio Figari,Capitán Aparicio Figari,,-1.0,Male,
Capitan Atilio Ibañez Rojas,Capitan Atilio Ibañez Rojas,,-1.0,Male,
Capitan Aviación Arnaldo Zayas,Capitan iación Arnaldo Zayas,,-1.0,Male,
Capitán Blas Montiel,Capitán Blas Montiel,,-1.0,Male,
Capitan de Marina Domingo Antonio Ortiz,Capitan de Marina Domingo Antonio Ortiz,,-1.0,Male,
Capitán de Marina Domingo Antonio Ortiz,Capitán de Marina Domingo Antonio Ortiz,,-1.0,Male,
Capitán de Marina Domingo Antonio Ortiz,Capitán de Marina Domingo Antonio Ortiz,,-1.0,Male,
