calle,calle filtrada,calle filtrada2,fiabilidad,gender,wikipedia
Calle Enrique Salinas,Enrique Salinas,,-0.5,Male,
Calle Angel Honorato Salazar,Angel Honorato Salazar,,-0.31,Male,
Calle Hans Greter,Hans Greter,,-0.5,Male,
Calle Julio Kanaudt,Julio Kanaudt,,-0.5,Male,
Calle J. Santos Atahuallpa,J. Santos Atahuallpa,,-0.28,Male,
Calle Tomasa Tito C.,Tomasa Tito C.,,0.47,Female,
Calle Felipa Tupac Amaru,Felipa Tupac Amaru,,0.49,Male,
Calle Capitán Ñuflo de Chavez,Capitán Ñuflo Chavez,,-0.5,Male,
Calle Manuel Ferrufino,Manuel Ferrufino,,-0.5,Male,
Calle Lucia Alcocer,Lucia Alcocer,,1.0,Female,
Calle Manuela Rodriguez,Manuela Rodriguez,,1.0,Female,
Calle Miguel Ferrufino,Miguel Ferrufino,,-1.0,Male,
Calle Manuel Via,Manuel Via,,-0.5,Male,
Calle Rafael Bustillo-Norte,Rafael Bustillo-Norte,,-0.5,Male,
Calle Sofia Rosell,Sofia Rosell,,1.0,Female,
Calle Ignacio Warnes,Ignacio Warnes,,-1.0,Male,
Calle Tomás Monje G.,Tomás Monje G.,,-0.99,Male,
Calle Jose Gutierrez G.,Jose Gutierrez G.,,-0.49,Male,
Calle Enrique Hertzog G.,Enrique Hertzog G.,,-0.5,Male,
Calle Severo Fernandez A.,Severo Fernandez A.,,-0.49,Male,
Calle Santa Lucía,Santa Lucía,,1.0,Female,
Avenida Santa Bárbara,Santa Bárbara,,1.0,Female,
Calle Ricardo Soruco,Ricardo Soruco,,-1.0,Male,
Calle San Joaquín,San Joaquín,,-0.5,Male,
Calle Santo Domingo Savio,Santo Domingo Savio,,-0.29,Male,
Calle San Bernardo,San Bernardo,,-0.5,Male,
Calle San Bernabé,San Bernabé,,0.25,Male,
Calle Santa Cecilia,Santa Cecilia,,1.0,Female,
Calle San Eduardo,San Eduardo,,-0.41,Male,
Calle San Bartolomé,San Bartolomé,,0.25,Male,
Avenida Nuestra Señora de Lourdes,Nuestra Señora Lourdes,,1.0,Female,
Calle Señor de los Milagros,Señor Milagros,,0.5,Female,
Avenida San Juan Bosco,San Juan Bosco,,-0.47,Male,
Calle Santa Clara,Santa Clara,,1.0,Female,
