calle;calleClean;name;surname;fiabilidad;gender;wikipedia;Revisado;;;;;;;;;;;;;;;;;;
Carrer de Martí Sureda i Deulovol;Martí Sureda i Deulovol;Martí;Sureda;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Miquel Martí Pol;Miquel Martí Pol;Miquel;Martí;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Sant Jordi;Sant Jordi;Sant;Jordi;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Sant Ferriol;Sant Ferriol;Sant;Ferriol;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Climent Guardiola i Gener;Climent Guardiola i Gener;Climent;Guardiola;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Isidre Macau;Isidre Macau;Isidre;Macau;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Agustí Riera i Pau;Agustí Riera i Pau;Agustí;Riera;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Sant Gaietà;Sant Gaietà;Sant;Gaietà;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Josep Pallach;Josep Pallach;Josep;Pallach;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Passeig Federico García Lorca;Federico García Lorca;Federico;García;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Pere Calders;Pere Calders;Pere;Calders;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Josep Maria de Segarra;Josep Maria Segarra;Josep;Maria;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Manuel de Pedrolo;Manuel Pedrolo;Manuel;Pedrolo;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Roger de Flor;Roger Flor;Roger;Flor;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Mossèn Josep Poch;Mossèn Josep Poch;Mossèn;Josep;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Passatge Paulí Torras;Paulí Torras;Paulí;Torras;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Josep Flores;Josep Flores;Josep;Flores;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Ramon Llull;Ramon Llull;Ramon;Llull;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Ramon Llull;Ramon Llull;Ramon;Llull;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Francesc Cambó;Francesc Cambó;Francesc;Cambó;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Pont  Josep Tarradellas i Joan;Josep Tarradellas i Joan;Josep;Tarradellas;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer d'Agustí Riera i Pau;Agustí Riera i Pau;Agustí;Riera;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Passatge de Mossèn Pere Rabat;Mossèn Pere Rabat;Mossèn;Pere;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Just Manuel Casero i Madrid;Just Manuel Casero i Madrid;Just;Manuel;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça de Tomàs Baraut i Obiols;Tomàs Baraut i Obiols;Tomàs;Baraut;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer d'Àngel Marsà i Beca;Àngel Marsà i Beca;Àngel;Marsà;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça de Camil Geis;Camil Geis;Camil;Geis;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer d'Antoni Varés i Martinell;Antoni Varés i Martinell;Antoni;Varés;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Francesc Ferrer i Gironès;Francesc Ferrer i Gironès;Francesc;Ferrer;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Francesc Ferrer i Gironès;Francesc Ferrer i Gironès;Francesc;Ferrer;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer d'Enric Adroher i Pascual;Enric Adroher i Pascual;Enric;Adroher;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça de Louis Braille;Louis Braille;Louis;Braille;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Josep Trueta i Raspall;Josep Trueta i Raspall;Josep;Trueta;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Pep Colomer i Martí;Pep Colomer i Martí;Pep;Colomer;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Manuel de Pedrolo;Manuel de Pedrolo;Manuel;de;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Rotonda de Joaquim Vayreda;Joaquim Vayreda;Joaquim;Vayreda;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Joaquim Vayreda;Joaquim Vayreda;Joaquim;Vayreda;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Ramon Turró;Ramon Turró;Ramon;Turró;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Ronda Ferran Puig;Ferran Puig;Ferran;Puig;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Ronda de Ferran Puig;Ferran Puig;Ferran;Puig;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Passeig de José Canalejas;José Canalejas;José;Canalejas;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Miquel Blay;Miquel Blay;Miquel;Blay;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Cristòfor Grober;Cristòfor Grober;Cristòfor;Grober;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Berenguer Carnicer;Berenguer Carnicer;Berenguer;Carnicer;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Avinguda de Ramon Folch;Ramon Folch;Ramon;Folch;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Pont de Sant Feliu;Pont  Feliu;Pont;;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Jeroni Real de Fontclara;Jeroni Real de Fontclara;Jeroni;Real;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Gran Via de Jaume I;Gran  Jaume I;Gran;;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer d'Anselm Clavé;Anselm Clavé;Anselm;Clavé;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Francesc Eiximenis;Francesc Eiximenis;Francesc;Eiximenis;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer d'Anselm Clavé i Camps;Anselm Clavé i Camps;Anselm;Clavé;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Ronda de Peius Pascual i Carbó;Peius Pascual i Carbó;Peius;Pascual;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Francesc Macià;Francesc Macià;Francesc;Macià;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Xavier Montsalvatge;Xavier Montsalvatge;Xavier;Montsalvatge;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça de Domènec Fita i Molat;Domènec Fita i Molat;Domènec;Fita;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Jaume Pons i Martí;Jaume Pons i Martí;Jaume;Pons;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça de Sant Feliu;Sant Feliu;Sant;Feliu;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça de Sant Pere;Sant Pere;Sant;Pere;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Pujada del Rei Martí;Pujada del Rei Martí;Pujada;del;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Francesc Samsó;Francesc Samsó;Francesc;Samsó;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Ferran el Catòlic;Ferran el Catòlic;Ferran;el;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Silvestre Santaló;Silvestre Santaló;Silvestre;Santaló;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Jardins de John Lennon;John Lennon;John;Lennon;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça de Narcís Figueras;Narcís Figueras;Narcís;Figueras;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Mirador de Lluís Maria de Puig i Olivé;Mirador de Lluís Maria de Puig i Olivé;Mirador;de;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Pujada de Sant Feliu;Pujada  Feliu;Pujada;;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Passatge de Miquel Gómez;Miquel Gómez;Miquel;Gómez;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Lluís Batlle i Prats;Lluís Batlle i Prats;Lluís;Batlle;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Pont de Sant Agustí;Pont  Agustí;Pont;;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Guillem Minali;Guillem Minali;Guillem;Minali;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Pujada de Sant Domènec;Pujada  Domènec;Pujada;;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Pujada de Sant Martí;Pujada  Martí;Pujada;;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Sant Cristòfor;Sant Cristòfor;Sant;Cristòfor;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Pere de Rocaberti;Pere de Rocaberti;Pere;de;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça de Sant Domènec;Sant Domènec;Sant;Domènec;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça de Federico Fellini;Federico Fellini;Federico;Fellini;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça de Josep Ferrater i Mora;Josep Ferrater i Mora;Josep;Ferrater;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Sant Daniel;Sant Daniel;Sant;Daniel;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer d'Ignasi Iglésias;Ignasi Iglésias;Ignasi;Iglésias;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Mariano Montorro;Mariano Montorro;Mariano;Montorro;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça de Prudenci Bertrana;Prudenci Bertrana;Prudenci;Bertrana;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça de Miquel de Palol;Miquel de Palol;Miquel;de;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Mestre Francesc Civil;Mestre Francesc Civil;Mestre;Francesc;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Francesc Rogés;Francesc Rogés;Francesc;Rogés;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Tomàs Mieres;Tomàs Mieres;Tomàs;Mieres;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Rafael Masó i Valentí;Rafael Masó i Valentí;Rafael;Masó;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Pere de Palol;Pere de Palol;Pere;de;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Ferran Soldevila;Ferran Soldevila;Ferran;Soldevila;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Francesc Artau;Francesc Artau;Francesc;Artau;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Josep Maria Gironella i Pous;Josep Maria Gironella i Pous;Josep;Maria;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Pierre Vilar;Pierre Vilar;Pierre;Vilar;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Avinguda de Sant Francesc;Sant Francesc;Sant;Francesc;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Ronda de Sant Antoni Maria Claret;Sant Antoni Maria Claret;Sant;Antoni;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Ferran Agulló i Vidal;Ferran Agulló i Vidal;Ferran;Agulló;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Avinguda Mariano Álvarez de Castro;Mariano Álvarez Castro;Mariano;Álvarez;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Doctor Gaspar Casal;Doctor Gaspar Casal;Doctor;Gaspar;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Doctor Francesc Coll i Turbau;Doctor Francesc Coll i Turbau;Doctor;Francesc;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Bernat Bacià;Bernat Bacià;Bernat;Bacià;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça de Josep Pla;Josep Pla;Josep;Pla;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça de Pompeu Fabra;Pompeu Fabra;Pompeu;Fabra;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça de Francesc Calvet i Rubalcaba;Francesc Calvet i Rubalcaba;Francesc;Calvet;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Tomàs de Lorenzana;Tomàs de Lorenzana;Tomàs;de;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Francesc de Ciurana i Hernández;Francesc de Ciurana i Hernández;Francesc;de;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça de Joaquim Pla i Dalmau;Joaquim Pla i Dalmau;Joaquim;Pla;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Josep Maluquer i Salvador;Josep Maluquer i Salvador;Josep;Maluquer;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça de Josep Pallach i Carolà;Josep Pallach i Carolà;Josep;Pallach;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Pont de Tomàs de Lorenzana;Tomàs de Lorenzana;Tomàs;de;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Bru Barnoya i Xiberta;Bru Barnoya i Xiberta;Bru;Barnoya;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça de Salvador Dalí i Domènech;Salvador Dalí i Domènech;Salvador;Dalí;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer d'Oriol Martorell i Codina;Oriol Martorell i Codina;Oriol;Martorell;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Sant Ignasi;Sant Ignasi;Sant;Ignasi;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Sant Miquel;Sant Miquel;Sant;Miquel;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Narcís Blanch i Illa;Narcís Blanch i Illa;Narcís;Blanch;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Carles Rahola;Carles Rahola;Carles;Rahola;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Sant Isidre;Sant Isidre;Sant;Isidre;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Jaume Balmes;Jaume Balmes;Jaume;Balmes;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Josep Ametller i Viñas;Josep Ametller i Viñas;Josep;Ametller;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Josep Tharrats;Josep Tharrats;Josep;Tharrats;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer d'Enric Claudi Girbal i Nadal;Enric Claudi Girbal i Nadal;Enric;Claudi;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Narcís Blanch;Narcís Blanch;Narcís;Blanch;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça de Josep Irla i Bosch;Josep Irla i Bosch;Josep;Irla;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Sant Agustí;Sant Agustí;Sant;Agustí;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Mossèn Baldiri Reixac;Mossèn Baldiri Reixac;Mossèn;Baldiri;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Jaume Marquès i Casanovas;Jaume Marquès i Casanovas;Jaume;Marquès;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Sant Hipòlit;Sant Hipòlit;Sant;Hipòlit;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Sant Salvador d'Horta;Sant Salvador Horta;Sant;Salvador;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Joaquim Pla i Cargol;Joaquim Pla i Cargol;Joaquim;Pla;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça de Sant Josep;Sant Josep;Sant;Josep;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça de Jacint Verdaguer i Santaló;Jacint Verdaguer i Santaló;Jacint;Verdaguer;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Pere III el Cerimoniós;Pere III el Cerimoniós;Pere;III;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Jardins d'Eusebi Colomer i Pous;Eusebi Colomer i Pous;Eusebi;Colomer;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Jaume Roca i Delpech;Jaume Roca i Delpech;Jaume;Roca;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Josep Pascual i Prats;Josep Pascual i Prats;Josep;Pascual;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Jardins de Pablo García Cortés;Pablo García Cortés;Pablo;García;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Josep Morató i Grau;Josep Morató i Grau;Josep;Morató;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça d'Enric Claudi Girbal i Nadal;Enric Claudi Girbal i Nadal;Enric;Claudi;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça de Rafael Casanova i Comes;Rafael Casanova i Comes;Rafael;Casanova;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça de Miquel Coll i Alentorn;Miquel Coll i Alentorn;Miquel;Coll;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Joaquim Botet i Sisó;Joaquim Botet i Sisó;Joaquim;Botet;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer d'Andreu Tuyet i Santamaria;Andreu Tuyet i Santamaria;Andreu;Tuyet;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer del Taquígraf Martí;Taquígraf Martí;Taquígraf;Martí;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça de Joaquim de Camps i Arboix;Joaquim de Camps i Arboix;Joaquim;de;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Joaquim Ruyra i Oms;Joaquim Ruyra i Oms;Joaquim;Ruyra;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Carles de Bolós;Carles de Bolós;Carles;de;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça de George Orwell;George Orwell;George;Orwell;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Francesc Palau i Quer;Francesc Palau i Quer;Francesc;Palau;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer d'Anton Agullana;Anton Agullana;Anton;Agullana;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer d'Àngel Serradell i Pérez;Àngel Serradell i Pérez;Àngel;Serradell;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Josep Clarà i Ayats;Josep Clarà i Ayats;Josep;Clarà;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
"Carrer de Josep Bosch i Puy, ""Piculives""";"Josep Bosch i Puy, ""Piculives""";Josep;Bosch;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Manuel Carrasco i Formiguera;Manuel Carrasco i Formiguera;Manuel;Carrasco;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Tomàs Roig i Llop;Tomàs Roig i Llop;Tomàs;Roig;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Jaume Ministral i Masià;Jaume Ministral i Masià;Jaume;Ministral;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Josep Maria Dalmau;Josep Maria Dalmau;Josep;Maria;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Ricard Giralt i Casadesús;Ricard Giralt i Casadesús;Ricard;Giralt;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Passatge de Ricard Giralt i Casadesús;Ricard Giralt i Casadesús;Ricard;Giralt;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Francesc Mateu;Francesc Mateu;Francesc;Mateu;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Laureà Dalmau i Pla;Laureà Dalmau i Pla;Laureà;Dalmau;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Berenguer de Palol;Berenguer de Palol;Berenguer;de;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Georges Méliès;Georges Méliès;Georges;Méliès;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça de Sebastià Salellas i Magret;Sebastià Salellas i Magret;Sebastià;Salellas;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça de Pablo Ruiz Picasso;Pablo Ruiz Picasso;Pablo;Ruiz;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Sant Ou;Sant Ou;Sant;Ou;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Salvador Dalí;Salvador Dalí;Salvador;Dalí;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer d'en Jaume Balmes;en Jaume Balmes;en;Jaume;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Rambla de Josep Pla;Josep Pla;Josep;Pla;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Doctor Vidal;Doctor Vidal;Doctor;Vidal;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer d'Àusias March;Àusias March;Àusias;March;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Just Puig;Just Puig;Just;Puig;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Pablo Picasso;Pablo Picasso;Pablo;Picasso;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Federic Mompou;Federic Mompou;Federic;Mompou;-2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
;;;;;;;FALSO;;;;;;;;;;;;;;;;;;
