calle;calleClean;name;surname;fiabilidad;gender;wikipedia;Revisado;;;;;;;;;;;;;;;;;;
Carrer de Caterina Albert (Victor Català);Caterina Albert (Victor Català);Caterina;Albert;2;Female;https://es.wikipedia.org/wiki/Caterina_Albert;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Mercè Marçal;Mercè Marçal;Mercè;Marçal;2;Female;https://es.wikipedia.org/wiki/Maria_Merc%C3%A8_Mar%C3%A7al;VERDADERO;;;;;;;;;;;;;;;;;;
Travessera de Sant Romà;Sant Romà;Sant;Romà;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Sant Romà;Sant Romà;Sant;Romà;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Maria Aurèlia Campany;Maria Aurèlia Campany;Maria;Aurèlia;2;Female;https://es.wikipedia.org/wiki/Maria_Aur%C3%A8lia_Capmany;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Rosa Leveroni;Rosa Leveroni;Rosa;Leveroni;2;Female;https://es.wikipedia.org/wiki/Rosa_Leveroni;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Pau Masó;Pau Masó;Pau;Masó;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Passeig de la Maria Rosa Puig Dalmau;Maria Rosa Puig Dalmau;Maria;Rosa;2;Female;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Joan Gaspar Roig i Jalpí;Joan Gaspar Roig i Jalpí;Joan;Gaspar;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça de Leonor Joher Besalú;Leonor Joher Besalú;Leonor;Joher;2;Female;https://es.wikipedia.org/wiki/Leonor_Joher;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Mossèn Joan Pons;Mossèn Joan Pons;Mossèn;Joan;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Joan Masó i Valentí;Joan Masó i Valentí;Joan;Masó;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de la Mare de Déu de la Salut;Mare Déu de la Salut;Mare;Déu;2;Female;;VERDADERO;;;;;;;;;;;;;;;;;;
Rotonda de Santa Eugènia;Santa Eugènia;Santa;Eugènia;2;Female;https://es.wikipedia.org/wiki/Eugenia_(m%C3%A1rtir);VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de la Mare de Déu del Remei;Mare Déu Remei;Mare;Déu;2;Female;https://ca.wikipedia.org/wiki/Mare_de_D%C3%A9u_del_Remei;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de la Mare de Déu dels Àngels;Mare Déu Àngels;Mare;Déu;2;Female;https://ca.wikipedia.org/wiki/Mare_de_D%C3%A9u_dels_%C3%80ngels;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça d'Isabel Vila i Pujol;Isabel Vila i Pujol;Isabel;Vila;2;Female;https://es.wikipedia.org/wiki/Isabel_Vil%C3%A0_i_Pujol;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Matilde Alis i Clopés;Matilde Alis i Clopés;Matilde;Alis;2;Female;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Maria Castanyer i Figueras;Maria Castanyer i Figueras;Maria;Castanyer;2;Female;https://ca.wikipedia.org/wiki/Maria_Castanyer_i_Figueras;VERDADERO;;;;;;;;;;;;;;;;;;
